Label,Metadata Version
URI,gbl_mdVersion_s
Obligation,Required
Multivalued,false
Field type,string
Purpose,To clarify which GeoBlacklight metadata schema is being used
Entry Guidelines,Enter the string: Aardvark.
Commentary,There have been two metadata schema versions for GeoBlacklight: 1.0 and Aardvark.
Controlled Vocabulary,yes - strict
Example value,"""Aardvark"""
Element Set,GBL
Group,Administrative
