Term,Term URI
Relief models,[http://id.loc.gov/authorities/genreForms/gf2011026525](http://id.loc.gov/authorities/genreForms/gf2011026525)
Remote-sensing maps,[http://id.loc.gov/authorities/genreForms/gf2011026531](http://id.loc.gov/authorities/genreForms/gf2011026531)
Road maps,[http://id.loc.gov/authorities/genreForms/gf2011026536](http://id.loc.gov/authorities/genreForms/gf2011026536)
Statistical maps,[http://id.loc.gov/authorities/genreForms/gf2011026610](http://id.loc.gov/authorities/genreForms/gf2011026610)
Stick charts,[http://id.loc.gov/authorities/genreForms/gf2011026613](http://id.loc.gov/authorities/genreForms/gf2011026613)
Strip maps,[http://id.loc.gov/authorities/genreForms/gf2011026617](http://id.loc.gov/authorities/genreForms/gf2011026617)
Thematic maps,[http://id.loc.gov/authorities/genreForms/gf2011026690](http://id.loc.gov/authorities/genreForms/gf2011026690)
Topographic maps,[http://id.loc.gov/authorities/genreForms/gf2011026697](http://id.loc.gov/authorities/genreForms/gf2011026697)
Tourist maps,[http://id.loc.gov/authorities/genreForms/gf2011026699](http://id.loc.gov/authorities/genreForms/gf2011026699)
Upside-down maps,[http://id.loc.gov/authorities/genreForms/gf2012025007](http://id.loc.gov/authorities/genreForms/gf2012025007)
Wall maps,[http://id.loc.gov/authorities/genreForms/gf2011026728](http://id.loc.gov/authorities/genreForms/gf2011026728)
World atlases,[http://id.loc.gov/authorities/genreForms/gf2011026742](http://id.loc.gov/authorities/genreForms/gf2011026742)
World maps,[http://id.loc.gov/authorities/genreForms/gf2011026743](http://id.loc.gov/authorities/genreForms/gf2011026743)
Worm's-eye views,[http://id.loc.gov/authorities/genreForms/gf2011026744](http://id.loc.gov/authorities/genreForms/gf2011026744)
Zoning maps,[http://id.loc.gov/authorities/genreForms/gf2011026752](http://id.loc.gov/authorities/genreForms/gf2011026752)
